,nombre,latitud,longitud,location,categoria,ciudad
11,Green Break Vegan Take Away,40.41374928145229,-3.713475465774536,"{'type': 'Point', 'coordinates': [40.41374928145229, -3.713475465774536]}",Vegan,Madrid
12,Vegan Rock,40.364865,-3.550834,"{'type': 'Point', 'coordinates': [40.364865, -3.550834]}",Vegan,Madrid
13,La Vegana de Madrid,40.45738604044665,-3.6514153171630985,"{'type': 'Point', 'coordinates': [40.45738604044665, -3.6514153171630985]}",Vegan,Madrid
14,Lombarda Vegana,40.426772,-3.698705,"{'type': 'Point', 'coordinates': [40.426772, -3.698705]}",Vegan,Madrid
16,El Templo Vegano,40.426277,-3.6993492,"{'type': 'Point', 'coordinates': [40.426277, -3.6993492]}",Vegan,Madrid
17,Punto Vegano,40.42482121229684,-3.71585210102297,"{'type': 'Point', 'coordinates': [40.42482121229684, -3.71585210102297]}",Vegan,Madrid
18,RESTAURANTE VEGANO PLANT GRILL,40.41558314100989,-3.701298236846924,"{'type': 'Point', 'coordinates': [40.41558314100989, -3.701298236846924]}",Vegan,Madrid
19,Vegania Veggie Bar,40.385241,-3.747971,"{'type': 'Point', 'coordinates': [40.385241, -3.747971]}",Vegan,Madrid
20,Planeta Vegano,40.410285211735406,-3.7005242358441492,"{'type': 'Point', 'coordinates': [40.410285211735406, -3.7005242358441492]}",Vegan,Madrid
21,productos latinos. Vegana,40.42533166982279,-3.655518984455329,"{'type': 'Point', 'coordinates': [40.42533166982279, -3.655518984455329]}",Vegan,Madrid
22,Alimentación Vegana,40.4224956,-3.6553774,"{'type': 'Point', 'coordinates': [40.4224956, -3.6553774]}",Vegan,Madrid
23,Mi Cabra Vegana,40.43714051642714,-3.641946315765381,"{'type': 'Point', 'coordinates': [40.43714051642714, -3.641946315765381]}",Vegan,Madrid
24,Distrito Vegano,40.40697203771007,-3.6996788206851368,"{'type': 'Point', 'coordinates': [40.40697203771007, -3.6996788206851368]}",Vegan,Madrid
25,Dolce & Vegana,40.413803,-3.717875,"{'type': 'Point', 'coordinates': [40.413803, -3.717875]}",Vegan,Madrid
26,La Dimensión Vegana,40.40728877702829,-3.6739728746243916,"{'type': 'Point', 'coordinates': [40.40728877702829, -3.6739728746243916]}",Vegan,Madrid
27,Planeta Vegano,40.40853387654168,-3.700900810613643,"{'type': 'Point', 'coordinates': [40.40853387654168, -3.700900810613643]}",Vegan,Madrid
28,Encuentro Vegano,40.406691,-3.639279,"{'type': 'Point', 'coordinates': [40.406691, -3.639279]}",Vegan,Madrid
